,,TASK TYPE BREAKDOWN
""
""
"Task Number",Order No,Product Code,Quantity,Del Date
""
0001126383,024428,EPL1172021,2.00,01/03/22
0001126432,024467,NEWTRAD/61007,1.00,01/03/22
0001126433,024467,NEWTRAD/61011,1.00,01/03/22
0001126434,024467,NEWTRAD/61008,1.00,01/03/22
0001126435,024467,NEWTRAD/61010,1.00,01/03/22
0001126436,024467,NEWTRAD/61000,1.00,01/03/22
0001126437,024467,NEWTRAD/6014,1.00,01/03/22
0001126517,024515,EPL0052021,1.00,01/03/22
0001126518,024515,EPL0112021,1.00,01/03/22
0001126519,024515,EPL0122021,1.00,01/03/22
0001126522,024515,EPL1432021,1.00,01/03/22
0001126524,024515,EPL0132021,1.00,01/03/22
0001126590,024585,HOME12EHL161,1.00,01/03/22
0001126909,024864,BPTIL1586,1.00,02/03/22
0001126910,024864,BPTIL1584,1.00,02/03/22
0001126958,024885,H11HERITLACQ1.2,1.00,02/03/22
0001126926,024873,EPL1682021,1.00,03/03/22
0001126929,024873,CS3CSTONEGREY,1.00,03/03/22
0001126930,024873,EPL1502021,1.00,03/03/22
0001126931,024873,EPL1442021,1.00,03/03/22
0001126933,024873,RW05,1.00,03/03/22
0001127213,025097,NEWTRAD/61015,1.00,03/03/22
0001126584,024577,SWTD/43320,2.00,07/03/22
0001127310,025110,F/LWOODGRIPPER,3.00,07/03/22
0001127826,025530,VERM/LACQDKBW,1.00,07/03/22
0001127827,025530,VERM/BSHLACQDBF,1.00,07/03/22
0001127828,025530,VERM/BSHOILDBF,1.00,07/03/22
0001127829,025530,VERM/COGNAC,1.00,07/03/22
0001128070,025697,BBPLK0112,1.00,07/03/22
0001127497,025306,H/COAK90MM,1.00,08/03/22
0001127642,025400,EPL1382021,13.00,08/03/22
0001127718,025462,OV4/594,30.00,08/03/22
0001127800,025513,SUPLEGLIBERTY,9.00,08/03/22
0001127801,025513,SUPREME4V60328,9.00,08/03/22
0001127816,025522,CS7314OAKNATRED,20.00,08/03/22
0001127823,025517,EPL0192021,5.00,08/03/22
0001127830,025532,F777,24.00,08/03/22
0001127831,025532,PNE3S3,45.00,08/03/22
0001127832,025532,P245S3,45.00,08/03/22
0001127833,025532,P220S3,45.00,08/03/22
0001127882,025567,ORION4/009S,5.65,08/03/22
0001127897,025578,NOVO/25,4.00,08/03/22
0001127909,025586,P211S9,5.00,08/03/22
0001127915,025589,NOVO/25,4.00,08/03/22
0001127949,025607,AFF/975,2.65,08/03/22
0001127966,025622,1.872MHDXMAPLE,11.00,08/03/22
0001127973,025628,NHA5/695,3.64,08/03/22
0001127991,025647,THWMGREENWICH,3.00,08/03/22
0001127999,025652,UNISCOT/DARKOAK,50.00,08/03/22
0001128014,025660,RST61050,12.00,08/03/22
0001128016,025663,UNISCOT/RUSTICOAK,2.00,08/03/22
0001128017,025663,P245S3,1.00,08/03/22
0001128055,025685,P232G9,5.00,08/03/22
0001128056,025685,P232S9,15.00,08/03/22
0001128074,025701,SAMPLEBOARDLVTS,2.00,08/03/22
0001128099,025725,THWMCHELSEA,17.00,08/03/22
0001128115,025743,EPL0892021,27.00,08/03/22
0001128138,025749,JURA/90,3.00,08/03/22
0001128139,025749,ML4/5275,3.50,08/03/22
0001121888,020829,HOME12EHL015,48.00,09/03/22
0001125089,023581,SAMPLEBOARDSEMI,2.00,09/03/22
0001126253,024324,WOODTEX3MM,50.00,09/03/22
0001126254,024324,THERMALAY10M2,50.00,09/03/22
0001126352,024397,SUPREME4V60316,15.00,09/03/22
0001126361,024410,EPL1102021,7.00,09/03/22
0001126634,024628,NEWFIBERBOARD,30.00,09/03/22
0001126884,024835,AIM/765,40.00,09/03/22
0001127155,025055,F777,12.00,09/03/22
0001127163,025059,HKA/76,23.60,09/03/22
0001127186,025077,NOVO/25,14.00,09/03/22
0001127222,025102,UNISKI/WHITE150MM,8.00,09/03/22
0001127297,025159,F777,24.00,09/03/22
0001127427,025264,SUPLEGTAS,10.00,09/03/22
0001127463,024299,H12/HERITBRUSHLACQ,22.00,09/03/22
0001127509,025324,1.872MHDXWALNUT,6.00,09/03/22
0001127512,025326,UNISCOT/TEAK,6.00,09/03/22
0001127544,024107,GV2/534,4.00,09/03/22
0001127630,025390,EPL1392021,6.00,09/03/22
0001127661,025428,P2459S,15.00,09/03/22
0001127703,025037,VOC4/621L,3.56,09/03/22
0001127744,025478,PNE5S9,45.00,09/03/22
0001127747,025481,EPL1382021,4.00,09/03/22
0001127751,025484,SUPREME4V/60954,9.00,09/03/22
0001127790,025509,F/LWOODGRIPPER,3.00,09/03/22
0001127841,025535,F777,12.00,09/03/22
0001127842,025535,P211S3,45.00,09/03/22
0001127843,025535,P245S3,45.00,09/03/22
0001127850,025541,AFT/CONTACTADH,12.00,09/03/22
0001127852,025542,M33.9A,10.00,09/03/22
0001127853,025542,M33.9A,5.00,09/03/22
0001127857,025512,JM40015KG,1.00,09/03/22
0001127883,025568,HV2-591,2.10,09/03/22
0001127887,025572,SUP12HYDRO00574,29.00,09/03/22
0001127895,025576,UNISCOT/WHITE,42.00,09/03/22
0001127927,025599,PNE5S9,15.00,09/03/22
0001127928,025599,P211S9,15.00,09/03/22
0001127931,025601,P211S3,45.00,09/03/22
0001127951,025609,UNISKI/WHITE130MM,15.00,09/03/22
0001127956,025615,F777,12.00,09/03/22
0001127957,025616,F/LDUALGRIPPER,15.00,09/03/22
0001128010,025657,PNE5S9,15.00,09/03/22
0001128011,025658,UNISCOT/WHITE,50.00,09/03/22
0001128012,025658,UNISCOT/OAK,50.00,09/03/22
0001128013,025658,CRUISELINER10MM,5.00,09/03/22
0001128015,025662,1.872MHDXWALNUT,6.00,09/03/22
0001128018,025664,CARPETCUSHION11,10.00,09/03/22
0001128021,025666,ENC/90,5.71,09/03/22
0001128023,025668,EPL2052021,5.00,09/03/22
0001128024,025669,UNISCOT/WHITE,50.00,09/03/22
0001128026,025671,ROMA,3.00,09/03/22
0001128029,025673,EHL086,30.00,09/03/22
0001128031,025675,EPL0442021,14.00,09/03/22
0001128036,025677,COSISTEP10MM,50.00,09/03/22
0001128037,025678,OMEGA10MM,10.00,09/03/22
0001128039,025680,GRN085,4.00,09/03/22
0001128057,025686,OV4/594,23.30,09/03/22
0001128062,025690,TIMBERLUX,4.00,09/03/22
0001128063,025691,SUPREME4V60544,21.00,09/03/22
0001128064,025692,COSISTEP10MM,8.00,09/03/22
0001128066,025694,EPL0352021,60.00,09/03/22
0001128067,025694,NOVO/25PVC,20.00,09/03/22
0001128068,025695,UNISKI/WHITE130MM,5.00,09/03/22
0001128071,025698,EHL016,3.00,09/03/22
0001128077,025705,ECOGOLDDPM,5.00,09/03/22
0001128078,025705,SUPREME4V00621,23.00,09/03/22
0001128085,025712,THERMALAY10M2,25.00,09/03/22
0001128086,025713,EPL1782021,9.00,09/03/22
0001128092,025720,ST4/11,1.99,09/03/22
0001128093,025721,HKF/90,5.18,09/03/22
0001128094,025722,SUPREME4V00607,23.00,09/03/22
0001128095,025723,SUPREME4V/60954,17.00,09/03/22
0001128096,025723,FUND121,3.00,09/03/22
0001128097,025723,UNISCOT/OAK,15.00,09/03/22
0001128100,025726,ECOGOLDDPM,4.00,09/03/22
0001128103,025729,JM40015KG,6.00,09/03/22
0001128104,025730,COSISTEP10MM,12.00,09/03/22
0001128107,025737,FLO/172,4.00,09/03/22
0001128110,025741,LVTUNDERLAY,4.00,09/03/22
0001128111,025741,EPL0892021,52.00,09/03/22
0001128112,025742,SUPLEGLIBERTY,13.00,09/03/22
0001128116,025744,F/LDUALGRIPPER,1.00,09/03/22
0001128117,025744,BLACKDIAMOND,1.00,09/03/22
0001128118,025744,NF12MMFLORENCE,16.00,09/03/22
0001128119,025746,ART4-581,5.11,09/03/22
0001128126,025747,PNE5S9,15.00,09/03/22
0001128128,025731,AFF/880,7.56,09/03/22
0001128130,025750,NOVO/25,6.00,09/03/22
0001128131,025750,UNISCOT/WHITE,40.00,09/03/22
0001128132,025751,1.872MHDXMAPLE,2.00,09/03/22
0001128134,025753,UNISCOT/RUSTICOAK,10.00,09/03/22
0001128135,025754,ROCK4/970M,18.17,09/03/22
0001128136,025756,F777,24.00,09/03/22
0001128143,025760,FAIR/76,2.59,09/03/22
0001128144,025760,FAIR5/76,6.63,09/03/22
0001128145,025760,FAIR/77,21.50,09/03/22
0001128146,025760,EMP/68,16.00,09/03/22
0001128147,025760,COSISTEP10MM,7.00,09/03/22
0001128148,025760,AUTH/166,36.00,09/03/22
0001128149,025761,ALPHA8MM,18.00,09/03/22
0001128150,025761,TIMBERLUX,25.00,09/03/22
0001128151,025761,COSISTEP10MM,25.00,09/03/22
0001128152,025761,GAMMA11MM,10.00,09/03/22
0001128153,025762,JURA/90,2.90,09/03/22
0001128154,025762,JURA/90,3.89,09/03/22
0001128155,025762,COSI10MM,6.00,09/03/22
0001128156,025763,AUTH/129,8.00,09/03/22
0001128157,025763,NEWFIBERBOARD,2.00,09/03/22
0001128158,025764,COSI10MM,10.00,09/03/22
0001128159,025764,F777,72.00,09/03/22
0001128160,025764,EPL1092021,5.00,09/03/22
0001128163,025766,VARNISHED/GREY,16.00,09/03/22
0001128164,025766,EHL014,21.00,09/03/22
0001128165,025767,VOC3/019S,4.50,09/03/22
0001128170,025772,UNISCOT/WHITE,50.00,09/03/22
0001128172,025775,EPL0682021,21.00,09/03/22
0001128173,025775,NOVO/25,7.00,09/03/22
0001124620,023249,ST4/11,7.60,10/03/22
0001124621,023249,ST4/35,7.60,10/03/22
0001124622,023249,ST4/42,7.60,10/03/22
0001124623,023249,ST4/65,7.60,10/03/22
0001124624,023249,ST4/69,7.60,10/03/22
0001124625,023249,ST4/73,7.60,10/03/22
0001124626,023249,ST4/74,7.60,10/03/22
0001124627,023249,ST4/85,7.60,10/03/22
0001124628,023249,ST4/93,7.60,10/03/22
0001124805,023381,EPL1392021,7.00,10/03/22
0001125864,024063,SUP4-69,0.65,10/03/22
0001125865,024063,SUP4-74,0.65,10/03/22
0001125866,024063,SUP4-75,0.65,10/03/22
0001125867,024063,SUP4-78,0.65,10/03/22
0001125868,024063,SUP4-82,0.65,10/03/22
0001125869,024063,SUP4-90,0.65,10/03/22
0001126564,024559,ROCK3/979E,5.22,10/03/22
0001126565,024562,AIM/875,23.70,10/03/22
0001126809,024760,SUP12HYDRO00411,18.00,10/03/22
0001126916,024866,CC4-720,3.05,10/03/22
0001126917,024866,CC4-720,2.75,10/03/22
0001127035,024952,2017GRN083,2.00,10/03/22
0001127040,024960,SUPREME4V00607,24.00,10/03/22
0001127259,025128,VOC3/621L,12.50,10/03/22
0001127316,025178,NF12MMFLORENCE,7.00,10/03/22
0001127370,023458,EHL086,20.00,10/03/22
0001127416,025253,OV3/547,3.65,10/03/22
0001127526,025340,NOTT-76,30.30,10/03/22
0001127535,023249,ST4/79,7.60,10/03/22
0001127536,023249,ST4/92,7.60,10/03/22
0001127583,025354,PNE5G3,45.00,10/03/22
0001127584,025354,P/NE5OA,15.00,10/03/22
0001127585,025354,UNISCOT/OAK,100.00,10/03/22
0001127641,025399,EBL042,52.00,10/03/22
0001127686,025451,ENC5/77,5.94,10/03/22
0001127693,025452,ART2-581,1.30,10/03/22
0001127694,025452,ART2-581,4.00,10/03/22
0001127707,025455,ETE/70,6.70,10/03/22
0001127736,025471,SUP12HYDRO00574,14.00,10/03/22
0001127821,025525,EPL0352021,10.00,10/03/22
0001127868,025557,ROCK3/190L,12.00,10/03/22
0001127869,025557,ROCK3/190L,4.00,10/03/22
0001127870,025557,ROCK3/190L,3.00,10/03/22
0001127871,025557,ROCK3/190L,3.20,10/03/22
0001127900,025580,SUP4-92,4.10,10/03/22
0001127906,025585,VISIOGRANDE44156,5.00,10/03/22
0001127917,025591,SUP12HYDRO00673,16.00,10/03/22
0001127976,025630,THWMGREENWICH,1.00,10/03/22
0001128019,025665,LAY/SCREEDMASTER2ULTLATEX,1.00,10/03/22
0001128020,025665,LAY/SCREEDMASTER2ULTPOWDER,1.00,10/03/22
0001128048,025681,OMEGA10MM,5.00,10/03/22
0001128049,025681,F777,12.00,10/03/22
0001128075,025702,F/LDUALGRIPPER,10.00,10/03/22
0001128079,025706,P220G3,45.00,10/03/22
0001128098,025724,AIM/995,0.80,10/03/22
0001128101,025728,OMEGA10MM,10.00,10/03/22
0001128102,025728,F777,12.00,10/03/22
0001128108,025738,DEV/134,0.65,10/03/22
0001128127,025748,ROCK4/090S,4.13,10/03/22
0001128161,025765,SUPREME4V60957,16.00,10/03/22
0001128162,025765,EPL1362021,24.00,10/03/22
0001128166,025768,CC4-350,6.60,10/03/22
0001128167,025769,CHATA7505-A,27.00,10/03/22
0001128168,025769,CHATB7505-B,27.00,10/03/22
0001128174,025778,VIKTOR/40170,8.00,10/03/22
0001125211,023650,ORKD4/72,4.11,11/03/22
0001125212,023650,ORKD4/72,2.51,11/03/22
0001125213,023650,ORKD4/72,4.34,11/03/22
0001125214,023650,ORKD4/72,3.20,11/03/22
0001125572,023873,EPL0512021,17.00,11/03/22
0001125872,024066,HC4-13,0.65,11/03/22
0001125873,024066,HC4-41,0.65,11/03/22
0001125874,024066,HC4-74,0.65,11/03/22
0001125875,024066,HC4-75,0.65,11/03/22
0001125876,024066,HC4-76,0.65,11/03/22
0001125877,024066,HC4-77,0.65,11/03/22
0001125878,024066,HC4-90,0.65,11/03/22
0001125879,024066,HC4-113,0.65,11/03/22
0001125880,024066,HC4-177,0.65,11/03/22
0001125881,024066,HC4-190,0.65,11/03/22
0001125883,024066,HC4-590,0.65,11/03/22
0001126158,024270,PARA/65,4.75,11/03/22
0001126159,024270,PARA/65,3.66,11/03/22
0001126160,024270,PARA/70,6.00,11/03/22
0001126314,024367,TIMBERLUX,15.00,11/03/22
0001126337,024390,ORION2/607M,1.20,11/03/22
0001126339,024390,EPL1382021,5.00,11/03/22
0001126642,024635,EPL1092021,18.00,11/03/22
0001126644,024640,DYN/45,2.90,11/03/22
