User_Date______,Cut_Tasks,Cut_Qty,Pick_Tasks,Pick_Qty,Putaways,Away_Qty,Load_Tasks,Load_Qty,Cancelled_Tasks,Cnx_Qty
BDGUN - 03/03/22,0,0.00,6,94.99,1,8.60,0,0.00,0,0.00
DB - 01/03/22,0,0.00,0,0.00,0,0.00,0,0.00,5,18.00
DB - 02/03/22,0,0.00,0,0.00,0,0.00,0,0.00,3,12.00
DB - 03/03/22,0,0.00,0,0.00,0,0.00,0,0.00,9,67.38
DB - 04/03/22,0,0.00,0,0.00,0,0.00,0,0.00,14,468.00
DB - 07/03/22,0,0.00,0,0.00,0,0.00,0,0.00,7,25.00
DMAGUN - 01/03/22,0,0.00,39,492.00,9,0.00,0,0.00,0,0.00
DMAGUN - 02/03/22,0,0.00,26,598.00,0,0.00,0,0.00,0,0.00
DMAGUN - 03/03/22,0,0.00,29,448.00,0,0.00,0,0.00,0,0.00
DMAGUN - 04/03/22,0,0.00,30,629.60,0,0.00,0,0.00,0,0.00
DMAGUN - 07/03/22,0,0.00,36,511.00,6,0.00,0,0.00,0,0.00
DMGUN - 01/03/22,0,0.00,20,616.00,0,0.00,0,0.00,0,0.00
DT2GUN - 02/03/22,20,58.20,0,0.00,7,226.00,0,0.00,0,0.00
DT2GUN - 04/03/22,17,70.31,30,307.68,0,0.00,0,0.00,0,0.00
KSGUN - 01/03/22,0,0.00,48,1040.00,8,0.00,0,0.00,0,0.00
KSGUN - 02/03/22,0,0.00,27,514.00,0,0.00,0,0.00,0,0.00
KSGUN - 04/03/22,0,0.00,22,422.00,0,0.00,0,0.00,0,0.00
KSGUN - 07/03/22,0,0.00,18,402.00,0,0.00,0,0.00,0,0.00
MMCGUN - 01/03/22,20,98.65,12,150.00,8,124.09,0,0.00,0,0.00
MMCGUN - 02/03/22,18,85.43,13,236.80,5,78.91,0,0.00,0,0.00
MMCGUN - 03/03/22,3,20.79,1,30.25,4,33.26,0,0.00,0,0.00
MMCGUN - 07/03/22,16,74.14,15,270.70,3,22.94,0,0.00,0,0.00
MMGUN3 - 01/03/22,0,0.00,9,110.00,0,0.00,0,0.00,0,0.00
MMGUN3 - 04/03/22,10,37.89,10,120.55,2,7.68,0,0.00,0,0.00
MT - 01/03/22,0,0.00,0,0.00,0,0.00,0,0.00,156,2340.12
MT - 02/03/22,0,0.00,0,0.00,0,0.00,0,0.00,154,1569.99
MT - 03/03/22,0,0.00,0,0.00,0,0.00,0,0.00,31,1046.00
MT - 04/03/22,0,0.00,0,0.00,0,0.00,0,0.00,209,4018.04
MT - 07/03/22,0,0.00,0,0.00,0,0.00,0,0.00,148,1888.29
PM2GUN - 01/03/22,80,328.47,3,10.10,0,0.00,0,0.00,0,0.00
PM2GUN - 02/03/22,32,101.46,0,0.00,1,2.70,0,0.00,0,0.00
PM2GUN - 03/03/22,24,86.14,13,226.67,0,0.00,0,0.00,0,0.00
PM2GUN - 04/03/22,36,144.22,0,0.00,0,0.00,0,0.00,0,0.00
PM2GUN - 07/03/22,64,276.26,0,0.00,22,652.50,0,0.00,0,0.00
SDR - 01/03/22,0,0.00,0,0.00,0,0.00,0,0.00,1,2.00
SDR - 02/03/22,0,0.00,0,0.00,0,0.00,0,0.00,3,21.00
SDR - 03/03/22,0,0.00,0,0.00,0,0.00,0,0.00,3,64.00
SDR - 07/03/22,0,0.00,0,0.00,0,0.00,0,0.00,2,2.00
SLGUN2 - 02/03/22,0,0.00,19,257.00,0,0.00,0,0.00,0,0.00
SLGUN2 - 03/03/22,0,0.00,44,1181.00,0,0.00,0,0.00,0,0.00
SLGUN2 - 04/03/22,0,0.00,14,248.00,10,0.00,0,0.00,0,0.00
SLGUN2 - 07/03/22,0,0.00,21,582.00,0,0.00,0,0.00,0,0.00
THGUN2 - 02/03/22,12,61.87,14,161.55,43,1231.10,0,0.00,0,0.00
THGUN2 - 04/03/22,29,127.82,0,0.00,0,0.00,0,0.00,0,0.00
THGUN2 - 07/03/22,12,46.41,43,595.08,115,3457.30,0,0.00,0,0.00
WFGUN - 01/03/22,31,122.95,63,879.23,0,0.00,0,0.00,0,0.00
WFGUN - 03/03/22,57,246.74,0,0.00,0,0.00,0,0.00,0,0.00
***,481,1987.75,625,11134.20,244,5845.08,0,0.00,745,11541.82
